00037020-n	00036299-n
00038116-n	00037396-n
00052345-n	00051525-n
00058822-n	00058002-n
00059157-n	00058337-n
00061637-n	00060817-n
00068074-n	00067254-n
00069993-n	00069173-n
00085715-n	00084895-n
00094694-n	00093874-n
00100408-n	00099588-n
00109247-n	00108427-n
00131167-n	00130347-n
00132611-n	00131791-n
00134488-n	00133668-n
00135600-n	00134780-n
00150328-n	00149508-n
00150519-n	00149699-n
00161352-n	00160532-n
00169479-n	00168658-n
00172894-n	00172073-n
00175512-n	00174663-n
00186287-n	00185438-n
00195106-n	00194257-n
00204602-n	00203753-n
00221086-n	00220219-n
00221389-n	00220522-n
00271119-n	00270275-n
00276268-n	00275424-n
00296527-n	00295701-n
00297772-n	00296946-n
00318743-n	00317917-n
00323882-n	00323056-n
00325059-n	00324233-n
00326611-n	00325785-n
00335761-n	00334935-n
00341018-n	00340192-n
00365426-n	00364600-n
00370207-n	00369399-n
00371069-n	00370261-n
00395825-n	00395017-n
00414917-n	00413904-n
00415612-n	00414599-n
00418872-n	00417859-n
00426618-n	00425615-n
00443055-n	00442115-n
00443966-n	00442981-n
00445831-n	00444846-n
00445922-n	00444937-n
00446787-n	00445802-n
00447965-n	00446980-n
00448058-n	00447073-n
00449111-n	00448126-n
00449857-n	00448872-n
00449943-n	00448958-n
00450039-n	00449054-n
00450502-n	00449517-n
00450877-n	00449892-n
00451055-n	00450070-n
00453279-n	00452293-n
00454337-n	00453313-n
00455419-n	00454395-n
00463865-n	00462804-n
00464604-n	00463543-n
00465546-n	00464478-n
00465962-n	00464894-n
00467780-n	00466712-n
00467948-n	00466880-n
00468604-n	00467536-n
00469555-n	00468480-n
00470726-n	00469651-n
00471629-n	00470554-n
00471757-n	00470682-n
00471905-n	00470830-n
00477151-n	00476140-n
00478108-n	00477097-n
00478650-n	00477639-n
00481222-n	00480211-n
00488083-n	00487072-n
00490944-n	00489933-n
00491361-n	00490350-n
00494869-n	00493858-n
00497448-n	00496437-n
00500610-n	00499599-n
00505537-n	00504526-n
00506737-n	00505726-n
00509683-n	00508672-n
00509811-n	00508800-n
00516589-n	00515578-n
00520795-n	00519739-n
00531055-n	00530018-n
00539913-n	00538876-n
00543621-n	00542584-n
00545642-n	00544605-n
00563022-n	00561985-n
00567727-n	00566690-n
00595375-n	00594260-n
00607485-n	00606370-n
00608408-n	00607293-n
00621129-n	00619889-n
00621794-n	00620554-n
00628904-n	00627664-n
00631311-n	00630071-n
00631508-n	00630268-n
00634722-n	00633479-n
00639486-n	00638243-n
00642936-n	00641693-n
00643689-n	00642446-n
00644153-n	00642910-n
00647430-n	00646187-n
00657276-n	00656033-n
00682167-n	00680914-n
00682324-n	00681071-n
00683496-n	00682243-n
00684109-n	00682856-n
00686241-n	00684988-n
00689110-n	00687857-n
00699601-n	00698348-n
